Index,Fitting_points_logistiska,ISalpha_logistiska,Fitting_points_logistiska_mobilitet,ISalpha_logistiska_mobilitet,Fitting_points_logistiska_tak,ISalpha_logistiska_tak,Fitting_points_logistiska_mobilitet_tak,ISalpha_logistiska_mobilitet_tak,Fitting_points_SIR_daily,ISalpha_SIR_daily,Fitting_points_SIR_weekly,ISalpha_SIR_weekly
0,21,857.8782866,21,893.3471427,21,2250.141858,21,4105.455919,21,1253.727583,3,3843.005381
1,22,2704.653891,22,2719.24513,22,2210.198341,22,4448.10992,22,2317.109739,4,1595.164855
2,23,3468.535718,23,1280.172789,23,1882.070716,23,6836.086643,23,4601.918247,5,1231.238063
3,24,3626.929616,24,1904.238545,24,1565.686888,24,6017.378685,24,10974.0784,6,3998.671625
4,25,3537.880393,25,1470.445423,25,1323.249618,25,6170.337682,25,3407.81672,7,5491.47368
5,26,3622.764101,26,1305.589391,26,1138.155911,26,6528.904306,26,4026.121459,8,10112.37704
6,27,3497.323528,27,1097.66365,27,985.5791904,27,6182.809895,27,5178.544611,9,14615.44231
7,28,3602.31411,28,1098.53863,28,870.5912975,28,5198.014431,28,23708.01017,10,10619.13248
8,29,3888.794077,29,1240.898419,29,785.9972849,29,4200.138875,29,7569.181725,11,29253.18684
9,30,3989.144512,30,1363.6612,30,705.4956986,30,4628.514268,30,4601.340172,12,19783.17165
10,31,4136.048391,31,1485.891811,31,640.2860025,31,5174.467688,31,6933.035328,13,11059.38944
11,32,3605.901572,32,1029.247644,32,590.8206973,32,5037.456601,32,4180.655064,14,16648.50137
12,33,3568.427849,33,980.054929,33,550.8861715,33,4190.967716,33,3258.438125,15,16218.66696
13,34,4108.726144,34,1298.545031,34,508.0774756,34,3290.707621,34,4539.116047,16,30285.12011
14,35,4630.591111,35,1634.30444,35,473.1046236,35,2553.828965,35,3935.317037,17,19271.57727
15,36,4706.334014,36,1612.04315,36,438.3252577,36,1927.447493,36,4939.276481,,
16,37,4646.997928,37,1591.375475,37,404.9740958,37,2129.31907,37,11234.03292,,
17,38,3780.37694,38,902.8894404,38,366.955155,38,2203.142146,38,10460.14575,,
18,39,2850.771742,39,457.1171968,39,349.421789,39,2327.88127,39,3290.616813,,
19,40,979.746044,40,328.4985222,40,494.4694665,40,2240.278895,40,6578.732184,,
20,41,389.2548257,41,283.6186546,41,695.8913926,41,1733.754788,41,13543.88655,,
21,42,350.652644,42,255.3739954,42,896.9090122,42,1191.9493,42,3669.562115,,
22,43,669.443025,43,249.8027766,43,1015.102803,43,853.8322398,43,10239.00314,,
23,44,1626.588658,44,274.005715,44,853.2480339,44,561.831278,44,5850.35339,,
24,45,2544.219009,45,338.5508281,45,686.9941412,45,428.8738185,45,7408.839248,,
25,46,3294.767048,46,482.6625175,46,543.1342004,46,346.9788853,46,3665.074796,,
26,47,3735.8888,47,599.397172,47,469.3452092,47,280.3806404,47,5394.405759,,
27,48,3820.203609,48,606.1148762,48,460.3176222,48,229.8918864,48,19659.29749,,
28,49,4143.7506,49,732.7103053,49,383.9523755,49,196.5714621,49,4139.62333,,
29,50,4497.988171,50,939.3977198,50,291.8664219,50,171.5355869,50,8465.548128,,
30,51,4001.2276,51,570.6689707,51,396.3053344,51,144.7682644,51,11965.62508,,
31,52,3706.606889,52,380.3705402,52,480.3354646,52,126.2314582,52,5811.218678,,
32,53,3578.548025,53,307.2112093,53,627.1316024,53,113.0594347,53,21770.54722,,
33,54,3196.53491,54,261.8660938,54,927.4159676,54,115.3952546,54,24408.61941,,
34,55,2831.998561,55,254.4402679,55,1216.052148,55,134.9843656,55,7271.304108,,
35,56,2347.032688,56,249.8921066,56,1549.367984,56,178.3690626,56,18368.53987,,
36,57,2077.96832,57,240.103293,57,1804.7431,57,236.3328345,57,27644.64228,,
37,58,1812.182728,58,231.2406849,58,2054.284082,58,303.2285585,58,10789.44176,,
38,59,1477.680539,59,224.0236786,59,2329.635881,59,388.2592453,59,6898.265616,,
39,60,1305.389711,60,213.8984547,60,2529.006377,60,477.65545,60,14352.10715,,
40,61,1156.54471,61,203.86523,61,2715.270475,61,577.7935512,61,11364.82171,,
41,62,1051.775223,62,193.7967878,62,2873.450713,62,679.4123622,62,6326.812132,,
42,63,995.4161256,63,183.3626329,63,2997.020441,63,783.0980483,63,14094.56563,,
43,64,1105.177723,64,171.8970077,64,3013.31769,64,835.0118826,64,5157.173871,,
44,65,1199.390337,65,158.7423128,65,3021.985913,65,851.5796126,65,19250.41518,,
45,66,1101.319558,66,148.6671948,66,3128.217386,66,916.8851863,66,5451.907355,,
46,67,1010.977794,67,138.9689815,67,3220.836082,67,963.978948,67,14383.20673,,
47,68,944.256161,68,130.021577,68,3308.369568,68,1003.952325,68,7407.008798,,
48,69,982.0691807,69,119.7195148,69,3336.876024,69,991.2719213,69,6336.404777,,
49,70,1062.37787,70,109.8754125,70,3334.641569,70,953.011512,70,6516.395866,,
50,71,1233.942443,71,127.1528525,71,3239.792926,71,799.7266522,71,9927.129572,,
51,72,1450.211622,72,265.5359926,72,3092.79905,72,616.2816471,72,10199.01478,,
52,73,1732.714957,73,550.1352812,73,2872.697789,73,408.3336684,73,28981.80002,,
53,74,1973.526551,74,824.4202925,74,2684.537392,74,299.3169464,74,7030.687493,,
54,75,2218.406861,75,1119.438718,75,2483.700417,75,249.6361471,75,7357.485003,,
55,76,2441.358391,76,1391.677121,76,2292.430277,76,228.8005207,76,11348.22326,,
56,77,2696.28374,77,1705.522881,77,2067.69985,77,224.5852443,77,6878.945005,,
57,78,3002.510744,78,2093.157499,78,1788.908983,78,238.6417369,78,11365.46637,,
58,79,3288.609514,79,2434.488419,79,1519.617352,79,246.2086374,79,24765.47879,,
59,80,3544.221548,80,2716.160981,80,1267.108568,80,247.9266726,80,11984.82122,,
60,81,3770.267336,81,2950.637785,81,1042.505104,81,245.6670081,81,11785.38132,,
61,82,3961.287537,82,3138.079512,82,849.1786301,82,240.4188459,82,12821.94381,,
62,83,4105.046154,83,3269.777862,83,695.7407305,83,232.967225,83,12789.88157,,
63,84,4277.134998,84,3430.565546,84,538.6898587,84,226.2085392,84,10474.82313,,
64,85,4474.176162,85,3615.854331,85,383.3347055,85,220.2763852,85,8102.580428,,
65,86,4633.213174,86,3753.838385,86,285.5139179,86,214.5525982,86,9434.46882,,
