Idex,Fitting points,MAPE
0,21,0.40210690026389945
1,22,0.3977434778733613
2,23,0.2344294834347879
3,24,0.10501566163744872
4,25,0.17304418743596942
5,26,0.06964857163564322
6,27,0.12824089907545935
7,28,0.1744875262934938
8,29,0.118769428026846
9,30,0.12109771425999175
10,31,0.07030984717620509
11,32,0.02519730417430048
12,33,0.13098448053370088
13,34,0.14861290448367934
14,35,0.07929705452282278
15,36,0.05062754068878207
16,37,0.11823605534745422
17,38,0.15200715370455112
18,39,0.15344124945877918
19,40,0.20520461404969814
20,41,0.16925634354480606
21,42,0.048843204452687354
22,43,0.029992614436027947
23,44,0.03581350577431002
24,45,0.03625247311006123
25,46,0.048482730544775615
26,47,0.08446055569630999
27,48,0.05815246865841776
28,49,0.05874017461875708
29,50,0.10625312900346959
30,51,0.13571305571601344
31,52,0.13396281480755773
32,53,0.14257695671695045
33,54,0.1751111408635093
34,55,0.21169667330633596
35,56,0.15551351634107805
36,57,0.1492012240622207
37,58,0.23920339809310612
38,59,0.21564118578979524
39,60,0.19677780992521593
40,61,0.20972480738776608
41,62,0.2152697001827181
42,63,0.15594575514076525
43,64,0.1626230575156889
44,65,0.21719784803973263
45,66,0.2120086202441843
46,67,0.21680955334047686
47,68,0.2119366300814465
48,69,0.20641345626020507
49,70,0.19857758522911378
50,71,0.16879044728814677
51,72,0.1955859420815143
52,73,0.15865123886165783
53,74,0.14646981740037823
54,75,0.13812156812868578
55,76,0.11718593120295996
56,77,0.0988344437054221
57,78,0.1087481701478185
58,79,0.02519242670204681
59,80,0.2054561132902027
60,81,0.09250490218974756
61,82,0.06890071543224992
62,83,0.11155366815248033
63,84,0.06557925996423943
64,85,0.08331911295384631
65,86,0.08365102398433774
66,87,0.11151159679069825
67,88,0.11098402603904149
68,89,0.0835113694889337
69,90,0.12517388410448402
70,91,0.11056770390500487
71,92,0.11658241197207093
72,93,0.12037667119130849
73,94,0.097475325556836
74,95,0.03322319604165015
75,96,0.12196997787462854
76,97,0.1170975123366686
77,98,0.11158767397757204
78,99,0.14547913331099915
79,100,0.11921797588663033
80,101,0.11361961941764516
81,102,0.1328707983756168
82,103,0.1288542242559038
83,104,0.1377527301728414
84,105,0.1229971924746496
85,106,0.13713321399685427
86,107,0.13133035231452095
87,108,0.13610251641437976
88,109,0.12407717870028473
89,110,0.17255996711075752
90,111,0.17939745237812085
91,112,0.15703271412483938
92,113,0.1504671555786539
93,114,0.1453693399682376
94,115,0.18138592312243693
95,116,0.16666965739247494
96,117,0.22559025223551118
97,118,0.19064548967690037
98,119,0.19030105233768366
99,120,0.18100835261949552
100,121,0.18823846770273403
101,122,0.18340674231314302
102,123,0.20344742491935952
103,124,0.23015694800739647
104,125,0.19712231388879237
105,126,0.2003765178565117
106,127,0.20699538881812427
107,128,0.1978620464947475
108,129,0.20615625553582814
109,130,0.20659411598028277
