Index,fitting_points_logitiska,totalAdmissions_logistiska,fitting_points_logitiska_mobilitet,totalAdmissions_logistiska_mobilitet,fitting_points_logitiska_tak,totalAdmissions_logistiska_tak,fitting_points_logitiska_mobilitet_tak,totalAdmissions_logistiska_mobilitet_tak,fitting_points_SIR_daily,totalAdmissions_SIR_daily,fitting_points_SIR_weekly,totalAdmissions_SIR_weekly
0,21,120.8922539,21,120.8915694,21,1449.99999,21,2.63E-14,21,71.27149599,3,539.530796
1,22,81.09295428,22,81.09279629,22,1449.999924,22,1.35E-13,22,80.40035429,4,1550.733635
2,23,75.9156817,23,76.103095,23,1449.999686,23,1449.999686,23,354.2235822,5,2092.682974
3,24,84.80288038,24,84.80286262,24,1449.999384,24,1449.999384,24,4939.476843,6,2798.108502
4,25,99.98113281,25,99.98125089,25,1449.999006,25,1449.999006,25,1952.157687,7,2717.256313
5,26,112.5525883,26,112.552693,26,1449.998229,26,1449.998229,26,9386.72901,8,2411.481702
6,27,131.5771579,27,131.5767039,27,1449.997299,27,1449.997299,27,5431.11106,9,2287.812427
7,28,145.7328646,28,145.7333665,28,1449.995599,28,1449.995599,28,3322.319729,10,2076.865799
8,29,155.2467734,29,155.2468079,29,1449.992578,29,1449.992578,29,7459.61124,11,2106.360861
9,30,171.3293072,30,171.3293667,30,1449.988895,30,1449.988895,30,8098.978088,12,1742.133135
10,31,186.70489,31,186.7047831,31,1449.983608,31,1449.983608,31,18659.2168,13,1726.172045
11,32,222.8256861,32,222.8249997,32,1449.9803,32,1449.9803,32,14498.1642,14,1710.478903
12,33,246.80116,33,246.8009493,33,1449.973944,33,1449.973944,33,7857.903918,15,1681.572235
13,34,251.3449559,34,251.3447712,34,1449.961495,34,1449.961495,34,7309.27426,16,1460.627724
14,35,257.1362639,35,257.1363512,35,1449.944044,35,1449.944044,35,12126.50435,17,1659.49002
15,36,278.0921574,36,278.0922762,36,1449.927522,36,1449.927522,36,13707.00962,,
16,37,304.2266741,37,304.2269714,37,1449.909833,37,1449.909833,37,19112.66413,,
17,38,358.9244627,38,358.9249888,38,1449.901825,38,1449.901825,38,19860.75206,,
18,39,420.5197821,39,420.5216485,39,1449.893503,39,1449.893503,39,17284.08673,,
19,40,534.2085787,40,534.2094894,40,1449.895487,40,1449.895487,40,20460.0985,,
20,41,607.8795941,41,607.8813436,41,1449.888513,41,1449.888513,41,18294.88661,,
21,42,639.703105,42,639.6984839,42,1449.875008,42,1449.875008,42,9310.339724,,
22,43,636.9205593,43,636.9223618,43,1449.853187,43,1449.853187,43,11454.96078,,
23,44,597.930568,44,597.9319803,44,1449.813894,44,1449.813894,44,12763.4477,,
24,45,574.5062782,45,574.5074021,45,1449.763852,45,1449.763852,45,12054.58809,,
25,46,563.2357179,46,563.2354501,46,1449.703323,46,1449.54534,46,12384.55735,,
26,47,568.2018599,47,568.201234,47,1449.640393,47,1448.970174,47,13538.19874,,
27,48,588.0618869,48,588.0615284,48,1449.582132,48,1448.297522,48,11689.9055,,
28,49,597.4408749,49,597.4408361,49,1449.503256,49,1447.147383,49,11180.75619,,
29,50,604.76286,50,604.7627927,50,1449.407922,50,1445.565324,50,11436.44269,,
30,51,642.5282708,51,649.1277375,51,1449.350945,51,1445.39888,51,12970.90454,,
31,52,672.6561421,52,693.6375226,52,1449.279083,52,1445.039044,52,12440.87575,,
32,53,696.1576385,53,725.0068593,53,1449.192329,53,1444.535144,53,11231.02009,,
33,54,728.1610158,54,767.0104753,54,1449.116579,54,1444.609368,54,12267.08644,,
34,55,758.8404679,55,806.6320865,55,1449.036998,55,1444.700704,55,12807.21019,,
35,56,792.8103207,56,851.0221681,56,1448.962956,56,1444.954418,56,9273.710672,,
36,57,817.1076666,57,882.7488199,57,1448.870429,57,1444.897798,57,5619.33837,,
37,58,840.3252591,58,914.010816,58,1448.773832,58,1444.829787,58,2192.048711,,
38,59,865.3689277,59,949.4793195,59,1448.679922,59,1444.838605,59,10949.93003,,
39,60,883.2310593,60,974.1506047,60,1448.568425,60,1444.672044,60,8301.876675,,
40,61,900.0105582,61,997.8564616,61,1448.450843,61,1444.501971,61,8055.642264,,
41,62,914.9312102,62,1018.733247,62,1448.324484,62,1444.305605,62,8099.785749,,
42,63,926.5822956,63,1033.449373,63,1448.18346,63,1444.039293,63,4209.206324,,
43,64,930.5342971,64,1031.6819,64,1448.008009,64,1443.55354,64,6899.471237,,
44,65,935.3681248,65,1030.947347,65,1447.821213,65,1443.074503,65,7080.315217,,
45,66,947.5104688,66,1048.335785,66,1447.653647,66,1442.839017,66,5665.079122,,
46,67,959.5258933,67,1064.715333,67,1447.480085,67,1442.607118,67,6123.65269,,
47,68,971.5969058,68,1080.507238,68,1447.301909,68,1442.382294,68,6243.21772,,
48,69,980.5581646,69,1086.724081,69,1447.101903,69,1442.049319,69,6113.799471,,
49,70,988.7488147,70,1090.739363,70,1446.889565,70,1441.682059,70,5587.816514,,
50,71,991.5701374,71,1079.888344,71,1446.632078,71,1441.093872,71,4953.033366,,
51,72,993.0782288,72,1067.297893,72,1446.346552,72,1440.400595,72,4637.351381,,
52,73,992.6212663,73,1052.193728,73,1446.022224,73,1439.549591,73,4165.181583,,
53,74,994.4851382,74,1045.715661,74,1445.693123,74,1438.731124,74,3998.148853,,
54,75,996.6282542,75,1041.411023,75,1445.344422,75,1437.858766,75,3512.331524,,
55,76,999.8682461,76,1040.640718,76,1444.986431,76,1436.982494,76,4073.850552,,
56,77,1002.059035,77,1038.274918,77,1444.594689,77,1435.975588,77,3424.38611,,
57,78,1002.718101,78,1033.649648,78,1444.156777,78,1434.780934,78,3183.578409,,
58,79,1004.677276,79,1032.756433,79,1443.710269,79,1433.615181,79,2318.692271,,
59,80,1007.975671,80,1034.852214,80,1443.262143,80,1432.51393,80,3948.839709,,
60,81,1012.128526,81,1038.667061,81,1442.81002,81,1431.464933,81,2979.897462,,
61,82,1017.247576,82,1044.220947,82,1442.360998,82,1430.499953,82,2731.223216,,
62,83,1023.633516,83,1051.922417,83,1441.927169,83,1429.670037,83,2669.453591,,
63,84,1029.374655,84,1058.50327,84,1441.471356,84,1428.797624,84,3148.551006,,
64,85,1034.631673,85,1064.287289,85,1440.995346,85,1427.894736,85,2699.296227,,
65,86,1040.692187,86,1071.426998,86,1440.531011,86,1427.052979,86,2299.76855,,
66,87,1047.260259,87,1079.422588,87,1440.075422,87,1426.247899,87,2536.130923,,
67,88,1054.993228,88,1089.456899,88,1439.650619,88,1425.558457,88,2512.816038,,
68,89,1063.219569,89,1100.365682,89,1439.243182,89,1424.917526,89,2441.089876,,
69,90,1072.224827,90,1112.717733,90,1438.864571,90,1424.359953,90,2371.670066,,
70,91,1082.254894,91,1127.071025,91,1438.525694,91,1423.914713,91,2460.975102,,
71,92,1091.279486,92,1139.338939,92,1438.168771,92,1423.371675,92,2460.618544,,
72,93,1100.985696,93,1152.931498,93,1437.84406,93,1422.9279,93,2214.117962,,
73,94,1111.461512,94,1168.099667,94,1437.556795,94,1422.594298,94,2192.718781,,
74,95,1121.288677,95,1181.754249,95,1437.265242,95,1422.227954,95,1508.910552,,
75,96,1130.978163,96,1194.979054,96,1436.984876,96,1421.880528,96,2218.494349,,
76,97,1140.406549,97,1207.464476,97,1436.712271,97,1421.540305,97,2250.373511,,
77,98,1149.187085,98,1218.308023,98,1436.435349,98,1421.169513,98,2227.926763,,
78,99,1157.667188,99,1228.328744,99,1436.164444,99,1420.801455,99,1951.155686,,
79,100,1166.413788,100,1239.015497,100,1435.917692,100,1420.520978,100,2090.652155,,
80,101,1175.406819,101,1250.320152,101,1435.695356,101,1420.329893,101,2021.776063,,
