Vecka,Buss,Spårvagn,Tåg,Totalt
9,0.0%,0.0%,0.0%,0.0%
10,-4.0%,-4.9%,-4.6%,-4.4%
11,-14.0%,-13.5%,-19.7%,-14.2%
12,-41.1%,-40.5%,-48.2%,-41.4%
13,-46.9%,-51.0%,-53.8%,-49.0%
14,-49.1%,-55.2%,-57.5%,-52.1%
15,-57.6%,-62.3%,-68.0%,-60.1%
16,-53.7%,-59.9%,-60.5%,-56.5%
17,-46.6%,-54.0%,-56.2%,-50.1%
18,-51.4%,-54.0%,-64.8%,-53.4%
19,-47.0%,-50.3%,-57.0%,-48.9%
20,-46.2%,-48.9%,-57.1%,-48.0%
21,-51.5%,-52.5%,-61.1%,-52.6%
22,-40.3%,-44.3%,-50.7%,-42.5%
23,-40.9%,-45.2%,-51.9%,-43.3%
24,-39.0%,-38.3%,-49.2%,-39.4%
25,-51.0%,-55.0%,-56.0%,-53.0%
26,,,,-47%
27,,,,-50%
28,,,,-53%
29,,,,-56%
30,,,,-55%
31,,,,-53%
32,,,,-50%
33,,,,-47%
34,,,,-39%
35,,,,-35%
36,,,,-34%
37,,,,-34%
38,,,,-33%
39,,,,-33%
40,,,,-32%
41,,,,-31%
42,,,,-32%
43,,,,-31%
44,,,,-42%
45,,,,-41%
46,,,,-43%
47,,,,-45%
48,,,,-44%
49,,,,-44%
50,,,,-51%
51,,,,-51%
52,,,,-66%
53,,,,-77%
