,Datum,Inskrivningsdata,Optimala värden,Övre konfidens,Undre konfidens,Övre prediktion,Undre prediktion
0,2020-03-01,1,12.819771375459393,17.65655141137127,7.982991339547513,49.61438095843157,-23.97483820751278
1,2020-03-02,1,13.723623980213198,18.82345664301235,8.623791317414046,50.55373593274607,-23.106487972319677
2,2020-03-03,1,14.690593316717452,20.066186952434705,9.314999681000197,51.55990115106546,-22.178714517630553
3,2020-03-04,1,15.724998115897693,21.389511157254184,10.060485074541202,52.637537465599024,-21.187541233803643
4,2020-03-05,4,16.83143969664117,22.79847777558286,10.864401617699478,53.79161281153731,-20.128733418254974
5,2020-03-06,5,18.01481856942349,24.298428761338428,11.731208377508551,55.027419265557896,-18.997782126710916
6,2020-03-07,6,19.28035173450503,25.895013545209476,12.665689923800581,56.350590526796935,-17.789887057786874
7,2020-03-08,6,20.633590658786662,27.594203329781752,13.672977987791572,57.76711973970178,-16.499938422128462
8,2020-03-09,7,22.08043990604049,29.4023055762568,14.758574235824177,59.28337756075055,-15.122497748669574
9,2020-03-10,8,23.627176384268992,31.325978607747842,15.92837416079014,60.90613035194081,-13.651777583402826
10,2020-03-11,9,25.280469161208114,33.37224624021486,17.18869208220137,62.64255836328421,-12.081620040867978
11,2020-03-12,12,27.047399784274447,35.54851233660075,18.546287231948142,64.5002737444243,-10.405474175875419
12,2020-03-13,16,28.935483024351026,37.86257516255837,20.008390886143676,66.48733820211282,-8.616372153410769
13,2020-03-14,17,30.952687943490393,40.32264140323453,21.58273448374626,68.61228009589324,-6.706904208912459
14,2020-03-15,18,33.10745916465633,42.93733967983153,23.277578649481136,70.88411073927544,-4.6691924099627755
15,2020-03-16,24,35.40873819679921,45.71573338205955,25.10174301153888,73.31233964833059,-2.4948632547321665
16,2020-03-17,28,37.86598464063547,48.667332608107195,27.06463667316374,75.90698845444086,-0.17501917316993598
17,2020-03-18,33,40.48919706926244,51.802104977419205,29.17628916110567,78.67860317339017,2.2997909651347115
18,2020-03-19,43,43.2889333429883,55.13048505345032,31.44738163252628,81.63826449959517,4.9396021863814354
19,2020-03-20,47,46.27633007932536,58.66338208379587,33.88927807485486,84.79759577256303,7.755064386087703
20,2020-03-21,49,49.46312095686028,62.412185733885366,36.514056179835194,88.1687682431045,10.757473670616072
21,2020-03-22,50,52.861653485615996,66.38876945805735,39.334537513174645,91.76450324986115,13.958803721370835
22,2020-03-23,55,57.374639397047886,71.68178916535717,43.06748962873859,96.55554530465018,18.19373348944559
23,2020-03-24,64,62.21621762066855,77.32439256727545,47.10804267406165,101.69666599027084,22.73576925106626
24,2020-03-25,72,67.40397911971834,83.33198241641647,51.47597582302022,107.20536279249004,27.602595446946644
25,2020-03-26,78,72.95573305723909,89.71980884667072,56.19165726780746,113.09901506458571,32.81245104989246
26,2020-03-27,87,78.8894144397815,96.5028602350682,61.27596864449482,119.39475144653969,38.38407743302332
27,2020-03-28,94,85.22298001224691,103.69574549869681,66.750214525797,126.10930924299257,44.336650781501255
28,2020-03-29,101,91.97429224688675,111.31256839351389,72.63601610025961,133.2588871652187,50.6896973285548
29,2020-03-30,111,100.7850329209099,121.24890518446071,80.32116065735909,142.60869752919686,58.96136831262293
30,2020-03-31,120,110.21863804130354,131.80655992719824,88.63071615540882,152.6036262399458,67.83364984266127
31,2020-04-01,135,120.29140201098164,142.99294228582735,97.58986173613592,163.25427882455168,77.32852519741161
32,2020-04-02,144,131.01657674922564,154.81178687602068,107.2213666224306,174.56724698776364,87.46590651068763
33,2020-04-03,151,142.40397999763186,167.2628641416579,117.54509585360583,186.54481114220437,98.26314885305938
34,2020-04-04,161,154.4596254955208,180.3417349957304,128.57751599531122,199.18470174395657,109.73454924708506
35,2020-04-05,176,167.1853853999425,194.0395581001887,140.3312126996963,212.4799264028294,121.89084439705563
36,2020-04-06,190,187.97009522511266,216.4848531051683,159.45533734505702,234.26847824445522,141.6717122057701
37,2020-04-07,211,210.17301821834874,240.213043147927,180.13299328877048,257.42608109280417,162.91995534389335
38,2020-04-08,228,233.70406179319576,265.10058364576344,202.30753994062806,281.8308779946267,185.57724559176484
39,2020-04-09,253,258.4451598437078,290.99923793590096,225.89108175151466,307.33500391873184,209.55531576868378
40,2020-04-10,268,284.2522457026121,317.73940180619144,250.76508959903273,333.7682883267257,234.7362030784984
41,2020-04-11,284,310.9583287092303,345.13429968406024,276.7823577344003,360.94278474628214,260.9738726721784
42,2020-04-12,299,338.377517841243,372.98480786397096,303.770227818515,388.65786565194094,288.09717003054504
43,2020-04-13,309,355.0357077320848,389.40440015089337,320.66701531327624,405.1521309067909,304.9192845573787
44,2020-04-14,324,371.92723493898256,405.94192734344114,337.912542534524,421.80155851953333,322.0529113584318
45,2020-04-15,340,389.01547968788293,422.5616076497836,355.4693517259823,438.5714233726092,339.45953600315664
46,2020-04-16,360,406.26284227239375,439.22761466178684,373.29806988300066,455.42710848203063,357.0985760627569
47,2020-04-17,383,423.63105372719724,455.90434731677396,391.3577601376205,472.3343835144568,374.92772393993766
48,2020-04-18,397,441.081487308811,472.55668668725224,409.6062879303698,489.259667319685,392.90330729793703
