,Datum,Inskrivningsdata,Optimala värden,Övre konfidens,Undre konfidens,Övre prediktion,Undre prediktion
0,2020-03-01,1,42.03369117408391,46.63851791987012,37.42886442829771,118.17384586801678,-34.10646351984896
1,2020-03-02,1,44.191703737160125,48.95302190461707,39.43038556970318,120.34148297616434,-31.958075501844093
2,2020-03-03,1,46.45696368889216,51.37831966767964,41.53560771010468,122.61691689349483,-29.702989515710513
3,2020-03-04,1,48.83442907022944,53.91930808168563,43.74955005877325,125.0051237107437,-27.33626557028483
4,2020-03-05,4,51.32924821939264,56.58105968779515,46.07743675099013,127.51126874364077,-24.852772304855492
5,2020-03-06,5,53.94676292072019,59.36882481445487,48.52470102698551,130.14070941673003,-22.247183575289654
6,2020-03-07,6,56.69251110680018,62.288033231052665,51.0969889825477,132.89899767651627,-19.51397546291591
7,2020-03-08,6,59.5722290440503,65.34429527331581,53.8001628147848,135.79188186412256,-16.647423776021952
8,2020-03-09,7,62.591852926049874,68.54340237268832,56.64030347941143,138.82530797219812,-13.641602120098362
9,2020-03-10,8,65.75751979288763,71.89132691726078,59.623712668514486,142.0054202052684,-10.490380619493124
10,2020-03-11,9,69.07556768861262,75.39422136715842,62.75691401006682,145.33856075711682,-7.187425379891579
11,2020-03-12,12,72.55253496261568,79.05841654267506,66.0466533825563,148.83126871319047,-3.726198787959106
12,2020-03-13,16,76.19515861449673,82.89041899894373,69.49989823004974,152.49027798050116,-0.09996075150770878
13,2020-03-14,17,80.01037157576162,86.8969073966284,73.12383575489486,156.32251414212783,3.698229009395419
14,2020-03-15,18,84.00529881564474,91.08472777410478,76.9258698571847,160.33509012831115,7.675507502978334
15,2020-03-16,24,88.18725215257226,95.46088762296239,80.91361668218212,164.53530059137285,11.839203713771681
16,2020-03-17,28,92.56372364740287,100.03254866552948,85.09489862927626,168.93061486741203,16.196832427393687
17,2020-03-18,33,97.14237744974604,104.80701823061507,89.477736668877,173.52866840405983,20.756086495432243
18,2020-03-19,43,101.93103996453608,109.79173912192616,94.07034080714601,178.33725253066393,25.524827398408235
19,2020-03-20,47,106.93768820281323,114.99427787280035,98.88109853282612,183.3643024452868,30.511073960339672
20,2020-03-21,49,112.17043617854063,120.42231128116538,103.91856107591587,188.61788329200962,35.72298906507163
21,2020-03-22,50,117.63751921249275,126.08361112016846,109.19142730481704,194.10617420243113,41.168864222554376
22,2020-03-23,55,123.34727600503291,131.9860269229015,114.70852508716433,199.83745017713358,46.857101832932244
23,2020-03-24,64,129.3081283422157,138.13746674426756,120.47878994016384,205.82006168646774,52.79619499796364
24,2020-03-25,72,135.5285583043872,144.5458758094924,126.51124079928199,212.06241187550432,58.99470473327007
25,2020-03-26,78,142.0170828535979,151.21921296726973,132.8149527399261,218.5729312656315,65.46123444156432
26,2020-03-27,87,148.7822256859938,158.16542487623212,139.3990264957555,225.3600498552728,72.20440151671482
27,2020-03-28,94,155.83248624820362,165.3924178665267,146.27255462988055,232.43216653477097,79.23280596163627
28,2020-03-29,101,163.17630583290315,172.90802743390773,153.44458423189857,239.7976157458561,86.55499591995022
29,2020-03-30,111,170.82203068847875,180.71998534204155,160.92407603491594,247.46463133447264,94.17943004248484
30,2020-03-31,120,178.77787210130865,188.83588432974238,168.7198598728749,255.44130756727668,102.11443663534062
31,2020-04-01,135,187.05186343684164,197.26314044362056,176.84058643006273,263.735557306963,110.36816956672025
32,2020-04-02,144,195.651814157575,206.00895304309117,185.2946752720588,272.3550673698814,118.9485609452686
33,2020-04-03,151,204.58526087232067,215.08026255369668,194.09025919094466,281.3072511212018,127.86327062343958
34,2020-04-04,161,213.85941551184962,224.48370607599838,203.23512494770085,290.5991983982299,137.11963262546936
35,2020-04-05,176,223.4811107710685,234.22557099049908,212.73665055163792,300.2376228913065,146.7245986508305
36,2020-04-06,190,233.456743007145,244.311746733636,222.60173928065402,310.228807153939,156.684678860351
37,2020-04-07,211,243.79221283617838,254.74767495512302,232.83675071723374,320.5785454592237,167.00588021313308
38,2020-04-08,228,254.49286372767546,265.53829830191984,243.44742915343107,331.29208476793883,177.69364268741208
39,2020-04-09,253,265.56341895566567,276.6880081077673,254.438829803564,342.37406412455084,188.7527737867805
40,2020-04-10,268,277.0079173270095,288.2005912982228,265.81524335579627,353.82845285028736,200.18738180373165
41,2020-04-11,284,288.8296481704126,300.07917684796,277.5801194928652,365.65848795681234,212.00080838401286
42,2020-04-12,299,301.03108613273116,312.3261821480612,289.7359901174011,377.866611259152,224.19556100631033
43,2020-04-13,309,313.6138263910827,324.9432596543613,302.28439312780404,390.45440672155917,236.77324606060623
44,2020-04-14,324,326.5785209485898,337.93124419182635,315.2257977053533,403.42253862397456,249.73450327320506
45,2020-04-15,340,339.9248167367095,351.2901012829258,328.5595321904932,416.7706911885874,263.07894228483156
46,2020-04-16,360,353.6512962962867,365.0188768488995,342.28371574367395,430.49751035447866,276.80508223809477
47,2020-04-17,383,367.7554218509303,379.1156486015492,356.3951951003114,444.60054843214425,290.91029526971636
48,2020-04-18,397,382.23348361815573,393.5774794008629,370.88948783544856,459.0762124073873,305.3907548289242
49,2020-04-19,413,397.0805532241387,408.4003728035858,385.76073364469164,473.91971669413334,320.2413897541441
50,2020-04-20,447,412.29044309506975,423.5792309756185,401.001655214521,489.12504115655076,335.45584503358873
51,2020-04-21,465,427.85567269035243,439.1078150959868,416.6035302847181,504.6848952308285,351.0264501498764
52,2020-04-22,483,443.7674424187898,454.9787083549152,432.5561764826644,520.5906889744246,366.9441958631551
53,2020-04-23,509,460.0156160373034,471.18328165962066,448.84795041498614,536.8325118539739,383.19872022063294
54,2020-04-24,531,476.5887122718155,487.7116622276551,465.4657623159759,553.3991200508231,399.7783044928079
55,2020-04-25,556,493.4739063213276,504.5527053878547,482.3951072548005,570.277933014033,416.6698796286222
56,2020-04-26,574,510.6570418090624,521.693970138049,499.62011348007576,587.4550399235738,433.8590436945509
57,2020-04-27,596,528.1226536294654,539.121699331808,517.1236079271227,604.915216640603,451.33009061832774
58,2020-04-28,620,545.8540020081175,556.8208057724996,534.8871982437354,622.6419536168419,469.0660503993932
59,2020-04-29,638,563.8331179450164,574.774865948383,552.8913699416498,640.6174951113808,487.048740778652
60,2020-04-30,659,582.040860052658,592.9661235887588,571.1155965165572,658.8228899215705,505.25883018374543
61,2020-05-01,679,600.4569826318308,611.3755055773379,589.5384596863237,677.2380536765153,523.6759115871463
62,2020-05-02,697,619.0602146534857,629.9826529322702,608.1377763747012,695.8418425693561,542.2785867376152
63,2020-05-03,709,637.8283491382952,648.76596946663,626.8907288099603,714.6121382210445,561.0445600555458
64,2020-05-04,727,656.738342250725,667.7026903219365,645.7739941795136,733.5259431774632,579.9507413239869
65,2020-05-05,753,675.7664212559114,686.7689718141743,664.7638706976485,752.5594863480436,598.9733561637792
66,2020-05-06,772,694.8882003297053,705.9400030018675,683.8363976575432,771.6883375025108,618.0880631568999
67,2020-05-07,791,714.0788030691313,725.1901381912658,702.9674679469967,790.8875297585752,637.2700763796873
68,2020-05-08,805,733.3129904261044,744.4930483832139,722.1329324689949,810.1316888229247,656.4942920292841
69,2020-05-09,821,752.565292685092,763.821888593188,741.308696776996,829.3951675964537,675.7354177737303
70,2020-05-10,828,771.8101440283556,783.1494771654825,760.4708108912287,848.6521846275749,694.9681034291362
71,2020-05-11,839,791.0220181827626,802.448482728043,779.5955536374822,867.876964799502,714.1670715660232
72,2020-05-12,847,810.1755636212996,821.6916143088807,798.6595129337185,887.0438805724093,733.3072466701899
73,2020-05-13,863,829.2457368010113,840.8518103183407,817.6396632836819,906.1275920722453,752.3638815297772
74,2020-05-14,875,848.2079319568602,859.9024225186346,836.5134413950858,925.1031843262799,771.3126795874405
75,2020-05-15,889,867.038106036837,878.8173916645222,855.2588204091518,943.946299991421,790.129912082253
76,2020-05-16,897,885.7128974556592,897.5714121237473,873.8543827875711,962.6332660038571,808.7925289074614
77,2020-05-17,902,904.2097374599015,916.1400834069157,892.2793915128873,981.1412126951572,827.2782622246458
78,2020-05-18,915,922.5069530331717,934.5000471101056,910.5138589562379,999.4481840669647,845.5657219993788
79,2020-05-19,929,940.5838604221882,952.629108276452,928.5386125679244,1017.5332380891191,863.6344827552573
80,2020-05-20,942,958.420848529248,970.5063406084105,946.3353564500856,1035.3765360789855,881.4651609795105
81,2020-05-21,956,975.9994515892829,988.1121753140882,963.8867278644776,1052.9594204269247,899.0394827516412
